"Faculty Name","Faculty Code","Teacher Code","Load Limit Min","Load Limit Max","FacultyGuid","TeacherGuid"
"HUMANITIES_HUMS YR 7/8","HUM","SPK","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{D3AAA5AE-0223-4DC2-850A-A4D5FCBC3BDD}"
"HUMANITIES_HUMS YR 7/8","HUM","TSI","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{940569E0-0777-41AD-B2BB-E53D63829C2B}"
"HUMANITIES_HUMS YR 7/8","HUM","VID","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{87668229-91A8-4FD3-8866-FDA868C85FC0}"
"HUMANITIES_HUMS YR 7/8","HUM","YOU","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{1D342E8D-9F31-47BE-983A-84C9C23F0419}"
"TECHNOLOGY_COMPUTER TECH","ITT","HLE","0","0","{6AE28751-96DA-4AFC-AA0D-FE6B0D9354FE}","{06BDEDF9-1790-4533-A679-A047DDC6BEDE}"
"TECHNOLOGY_COMPUTER TECH","ITT","PEL","0","0","{6AE28751-96DA-4AFC-AA0D-FE6B0D9354FE}","{9A879E6D-03DE-4E6B-B9CF-5DCE9067BB1D}"
"TECHNOLOGY_COMPUTER TECH","ITT","SMP","0","0","{6AE28751-96DA-4AFC-AA0D-FE6B0D9354FE}","{D15BAB4D-8A92-476B-8982-A571C1BDD487}"
"TECHNOLOGY_COMPUTER TECH","ITT","YOU","0","0","{6AE28751-96DA-4AFC-AA0D-FE6B0D9354FE}","{1D342E8D-9F31-47BE-983A-84C9C23F0419}"
"LANGUAGES_LANG","LAN","BII","0","0","{EE037370-214D-4A2F-AE47-53A9C4B00C64}","{41E620C4-B0F1-4079-9A4E-F892B018EACE}"
"LANGUAGES_LANG","LAN","CLA","0","0","{EE037370-214D-4A2F-AE47-53A9C4B00C64}","{B0520564-1ABC-4B84-BB24-43AA04D2E192}"
"LANGUAGES_LANG","LAN","FEL","0","0","{EE037370-214D-4A2F-AE47-53A9C4B00C64}","{A85C1117-91B5-487B-AC82-A7E117F91882}"
"LANGUAGES_LANG","LAN","GAM","0","0","{EE037370-214D-4A2F-AE47-53A9C4B00C64}","{16514A4B-8F47-451F-A8B4-B146F5DEE338}"
"LANGUAGES_LANG","LAN","PAL","0","0","{EE037370-214D-4A2F-AE47-53A9C4B00C64}","{6228AD9F-23F9-4C3C-A9EC-A2BB78ADC6A8}"
"LATE_SUPPORT","LATESUP","ADF","0","0","{D2C2F569-5405-4428-92A1-DBC03B71631E}","{CA15CF69-04A3-4EF1-857C-1FB8196EF329}"
"LATE_SUPPORT","LATESUP","BML","0","0","{D2C2F569-5405-4428-92A1-DBC03B71631E}","{806DEB6D-03BE-4619-A0D8-FC88706529B3}"
"LATE_SUPPORT","LATESUP","CRA","0","0","{D2C2F569-5405-4428-92A1-DBC03B71631E}","{AB6843B2-7EAA-4E16-A860-DD0515FAE84B}"
"LATE_SUPPORT","LATESUP","CRI","0","0","{D2C2F569-5405-4428-92A1-DBC03B71631E}","{528D6872-0302-4ABD-B82F-DD9A31848671}"
"LATE_SUPPORT","LATESUP","HLE","0","0","{D2C2F569-5405-4428-92A1-DBC03B71631E}","{06BDEDF9-1790-4533-A679-A047DDC6BEDE}"
"LATE_SUPPORT","LATESUP","KEJ","0","0","{D2C2F569-5405-4428-92A1-DBC03B71631E}","{5122526C-1FBC-4141-B395-8F9DD9973540}"
"LATE_SUPPORT","LATESUP","MCI","0","0","{D2C2F569-5405-4428-92A1-DBC03B71631E}","{F3C0B9A6-6083-4D8E-B1B8-E1BB0C2D37B3}"
"LATE_SUPPORT","LATESUP","OBR","0","0","{D2C2F569-5405-4428-92A1-DBC03B71631E}","{43FF0F89-9D3B-484B-ABAC-37167FF34678}"
"HUMANITIES_LEGAL","LEG","CNM","0","0","{361493C4-47FC-4E75-9B45-C41708393547}","{3B6AF5DE-9CB3-4643-8ABC-BB75DDF26E6F}"
"HUMANITIES_LEGAL","LEG","DYL","0","0","{361493C4-47FC-4E75-9B45-C41708393547}","{15F3EC69-EA61-49D3-AA8D-75D08BC3E7B8}"
"HUMANITIES_LEGAL","LEG","ZHK","0","0","{361493C4-47FC-4E75-9B45-C41708393547}","{4D507753-099A-450C-A812-D87CACEB29A1}"
"ARTS_MEDIA","MED","ADF","0","0","{0DD50198-45DA-4953-A877-A4CAB9DCFDE6}","{CA15CF69-04A3-4EF1-857C-1FB8196EF329}"
"ARTS_MEDIA","MED","GAM","0","0","{0DD50198-45DA-4953-A877-A4CAB9DCFDE6}","{16514A4B-8F47-451F-A8B4-B146F5DEE338}"
"ARTS_MEDIA","MED","SCO","0","0","{0DD50198-45DA-4953-A877-A4CAB9DCFDE6}","{FD96B827-3789-4AFF-89D0-76165BAECE52}"
"ARTS_MEDIA","MED","VID","0","0","{0DD50198-45DA-4953-A877-A4CAB9DCFDE6}","{87668229-91A8-4FD3-8866-FDA868C85FC0}"
"MATHS_MATHS","MTH","ARN","0","0","{85ECC1FA-3E50-43D5-93E1-932E30F96764}","{83D556DD-E5DE-479B-A681-DE60B2931BAA}"
